language,word_clean,cd_score
English (American),a,4738
English (American),an,2504
English (American),about,3468
English (American),above,368
English (American),airplane,530
English (American),all,3896
English (American),alligator,289
English (American),am,1179
English (American),and,4715
English (American),animal,805
English (American),ankle,101
English (American),another,2283
English (American),ant,190
English (American),any,2366
English (American),apple,972
English (American),applesauce,151
English (American),are,4131
English (American),arm,690
English (American),around,1982
English (American),asleep,654
English (American),at,3901
English (American),awake,297
English (American),away,2169
English (American),back,3035
English (American),bad,972
English (American),ball,1288
English (American),balloon,687
English (American),banana,645
English (American),basement,178
English (American),basket,747
English (American),bat,292
English (American),bathroom,587
English (American),bathtub,350
English (American),be,3761
English (American),beach,559
English (American),beads,377
English (American),beans,593
English (American),bear,1339
English (American),because,3796
English (American),bed,1509
English (American),bedroom,595
English (American),bee,576
English (American),behind,1155
English (American),belt,297
English (American),bench,237
English (American),beside,342
English (American),better,1996
English (American),bib,357
English (American),bicycle,470
English (American),big,3089
English (American),bird,911
English (American),bite,751
English (American),black,1070
English (American),blanket,542
English (American),block,550
English (American),blow,663
English (American),blue,1655
English (American),boat,882
English (American),book,1982
English (American),boots,493
English (American),bottle,879
English (American),bowl,822
English (American),box,1644
English (American),bread,950
English (American),break,911
English (American),bring,1540
English (American),broken,874
English (American),broom,245
English (American),brown,860
English (American),brush,710
English (American),bubbles,567
English (American),bucket,495
English (American),bug,435
English (American),build,810
English (American),bump,431
English (American),bunny,794
English (American),bus,1037
English (American),but,3865
English (American),butter,633
English (American),butterfly,479
English (American),button,659
English (American),buy,1274
English (American),by,2232
English (American),cake,1078
English (American),camera,545
English (American),can,4079
English (American),can,4079
English (American),candy,498
English (American),car,1894
English (American),careful,957
English (American),carrots,514
English (American),carry,705
English (American),cat,1420
English (American),catch,830
English (American),cereal,523
English (American),chair,1312
English (American),chalk,229
English (American),chase,306
English (American),cheek,173
English (American),cheerios,81
English (American),cheese,977
English (American),chicken,924
English (American),chicken,924
English (American),chin,300
English (American),chocolate,945
English (American),church,432
English (American),clap,279
English (American),clean,1108
English (American),clean,1108
English (American),climb,559
English (American),clock,637
English (American),close,898
English (American),closet,264
English (American),cloud,259
English (American),coat,624
English (American),coffee,773
English (American),coke,212
English (American),cold,1034
English (American),comb,340
English (American),cook,652
English (American),cookie,749
English (American),corn,485
English (American),couch,362
English (American),could,2791
English (American),cover,568
English (American),cow,786
English (American),cracker,335
English (American),crayon,457
English (American),crib,301
English (American),cry,614
English (American),cup,1103
English (American),cut,1126
English (American),cute,437
English (American),dance,523
English (American),dark,667
English (American),deer,289
English (American),diaper,473
English (American),did,3641
English (American),dirty,875
English (American),dish,293
English (American),do,4392
English (American),does,3097
English (American),dog,1376
English (American),doll,818
English (American),dont,4141
English (American),donkey,349
English (American),donut,132
English (American),door,1367
English (American),down,3139
English (American),draw,1148
English (American),drawer,364
English (American),dress,839
English (American),drink,1212
English (American),drink,1212
English (American),drive,809
English (American),drop,659
English (American),dry,715
English (American),dry,715
English (American),dryer,146
English (American),duck,825
English (American),dump,355
English (American),each,1023
English (American),ear,606
English (American),eat,2223
English (American),egg,909
English (American),elephant,912
English (American),empty,620
English (American),every,1242
English (American),eye,685
English (American),face,1255
English (American),fall,1145
English (American),fast,802
English (American),feed,747
English (American),find,2179
English (American),fine,653
English (American),finger,801
English (American),finish,979
English (American),firetruck,177
English (American),first,2092
English (American),fish,1225
English (American),fish,1225
English (American),fit,961
English (American),fix,887
English (American),flag,247
English (American),flower,611
English (American),food,1496
English (American),foot,941
English (American),for,4214
English (American),fork,424
English (American),frog,639
English (American),full,951
English (American),game,898
English (American),garage,563
English (American),garbage,355
English (American),garden,854
English (American),gentle,376
English (American),get,3821
English (American),giraffe,511
English (American),give,2287
English (American),glass,666
English (American),glasses,564
English (American),gloves,311
English (American),glue,470
English (American),go,3890
English (American),gonna,3525
English (American),good,2875
English (American),goose,317
English (American),gotta,1316
English (American),grapes,484
English (American),grass,706
English (American),green,1580
English (American),gum,319
English (American),hafta,2776
English (American),hair,1365
English (American),hamburger,318
English (American),hammer,428
English (American),hand,1475
English (American),happy,1111
English (American),hard,1261
English (American),hat,1272
English (American),hate,260
English (American),have,4223
English (American),he,4158
English (American),head,1711
English (American),hear,1392
English (American),heavy,525
English (American),helicopter,399
English (American),help,1714
English (American),hen,304
English (American),her,3491
English (American),here,3733
English (American),hers,385
English (American),hide,655
English (American),high,815
English (American),him,3051
English (American),his,3433
English (American),hit,929
English (American),hold,1319
English (American),home,2025
English (American),horse,1084
English (American),hose,291
English (American),hot,1057
English (American),house,2080
English (American),how,3294
English (American),hug,425
English (American),hungry,753
English (American),hurry,428
English (American),hurt,1016
English (American),i,339
English (American),ice,872
English (American),if,3615
English (American),in,4499
English (American),inside,1504
English (American),inside,1504
English (American),into,2507
English (American),is,4509
English (American),it,4633
English (American),jacket,408
English (American),jar,390
English (American),jeans,199
English (American),jello,134
English (American),jelly,547
English (American),juice,1157
English (American),jump,805
English (American),keys,552
English (American),kick,423
English (American),kiss,807
English (American),kitchen,981
English (American),kitty,728
English (American),knee,586
English (American),knife,415
English (American),knock,572
English (American),ladder,456
English (American),lamb,366
English (American),lamp,271
English (American),last,1871
English (American),leg,757
English (American),lemme,593
English (American),lick,323
English (American),light,845
English (American),like,4387
English (American),lion,685
English (American),lips,248
English (American),listen,914
English (American),little,3760
English (American),lollipop,252
English (American),long,1678
English (American),look,3632
English (American),loud,548
English (American),love,1550
English (American),mad,456
English (American),make,2997
English (American),me,3731
English (American),meat,544
English (American),medicine,490
English (American),melon,145
English (American),milk,1193
English (American),mine,886
English (American),mittens,224
English (American),money,1003
English (American),monkey,764
English (American),moon,563
English (American),moose,236
English (American),mop,185
English (American),more,2878
English (American),motorcycle,277
English (American),mouse,769
English (American),mouth,1208
English (American),much,1842
English (American),muffin,234
English (American),my,3597
English (American),myself,567
English (American),nail,285
English (American),napkin,274
English (American),naughty,774
English (American),necklace,282
English (American),need,2179
English (American),new,1773
English (American),nice,2437
English (American),noisy,473
English (American),none,365
English (American),nose,1192
English (American),not,4052
English (American),nuts,321
English (American),of,4328
English (American),off,2817
English (American),old,1568
English (American),on,4446
English (American),open,1347
English (American),orange,1170
English (American),orange,1170
English (American),other,2740
English (American),our,2259
English (American),out,3559
English (American),outside,1559
English (American),oven,429
English (American),over,3075
English (American),owie,91
English (American),owl,413
English (American),paint,721
English (American),pajamas,478
English (American),pancake,235
English (American),pants,729
English (American),paper,1117
English (American),park,799
English (American),party,940
English (American),noodles,227
English (American),spaghetti,562
English (American),peas,692
English (American),pen,620
English (American),pencil,495
English (American),penguin,369
English (American),penny,325
English (American),pick,1395
English (American),pickle,192
English (American),picture,1546
English (American),pig,852
English (American),pillow,408
English (American),pizza,734
English (American),plant,458
English (American),plate,842
English (American),play,2526
English (American),pony,237
English (American),pool,507
English (American),poor,1006
English (American),popcorn,244
English (American),popsicle,173
English (American),porch,159
English (American),potato,399
English (American),potty,515
English (American),pour,502
English (American),present,658
English (American),pretend,1170
English (American),pretty,1515
English (American),pretzel,115
English (American),pudding,287
English (American),pull,1052
English (American),pumpkin,454
English (American),puppy,603
English (American),purse,365
English (American),push,955
English (American),put,3506
English (American),puzzle,716
English (American),quiet,632
English (American),radio,323
English (American),rain,547
English (American),raisin,197
English (American),read,1428
English (American),red,1772
English (American),refrigerator,371
English (American),ride,941
English (American),rip,266
English (American),rock,522
English (American),roof,536
English (American),room,1423
English (American),rooster,226
English (American),run,1062
English (American),sad,588
English (American),salt,343
English (American),same,1413
English (American),sandbox,198
English (American),sandwich,629
English (American),sauce,373
English (American),say,3188
English (American),scared,508
English (American),scarf,250
English (American),school,1556
English (American),scissors,471
English (American),see,3902
English (American),shake,468
English (American),share,568
English (American),she,3788
English (American),sheep,713
English (American),shirt,831
English (American),shoe,668
English (American),shorts,346
English (American),shoulder,219
English (American),shovel,255
English (American),show,1735
English (American),shower,364
English (American),sick,630
English (American),sidewalk,179
English (American),sing,933
English (American),sink,358
English (American),sit,1722
English (American),skate,114
English (American),sky,582
English (American),sled,130
English (American),sleep,1198
English (American),sleepy,364
English (American),slide,698
English (American),slide,698
English (American),slipper,266
English (American),slow,312
English (American),smile,339
English (American),snow,751
English (American),snowman,401
English (American),so,3902
English (American),soap,440
English (American),sock,416
English (American),soda,203
English (American),sofa,368
English (American),soft,644
English (American),some,3523
English (American),soup,563
English (American),spill,392
English (American),splash,335
English (American),spoon,871
English (American),squirrel,344
English (American),stairs,614
English (American),stand,998
English (American),star,486
English (American),stay,1245
English (American),stick,987
English (American),sticky,550
English (American),stone,321
English (American),stop,1365
English (American),store,761
English (American),story,1173
English (American),stove,344
English (American),strawberry,499
English (American),street,668
English (American),stroller,232
English (American),stuck,1090
English (American),sun,772
English (American),sweater,280
English (American),sweep,200
English (American),swim,515
English (American),swing,523
English (American),swing,523
English (American),table,1399
English (American),take,2727
English (American),talk,1277
English (American),tape,1000
English (American),taste,577
English (American),tear,293
English (American),teddybear,361
English (American),telephone,571
English (American),that,4635
English (American),the,4772
English (American),their,2118
English (American),them,3379
English (American),then,3709
English (American),there,4074
English (American),these,2792
English (American),they,3827
English (American),think,3947
English (American),thirsty,345
English (American),this,4337
English (American),those,2834
English (American),throw,1148
English (American),tickle,445
English (American),tiger,662
English (American),tights,143
English (American),tiny,913
English (American),tired,816
English (American),tissue,405
English (American),to,4613
English (American),toast,731
English (American),toe,405
English (American),tongue,424
English (American),too,3197
English (American),tooth,365
English (American),toothbrush,273
English (American),touch,949
English (American),towel,457
English (American),toy,1061
English (American),tractor,716
English (American),train,1578
English (American),trash,258
English (American),tray,446
English (American),tree,1143
English (American),tricycle,193
English (American),truck,1244
English (American),try,1664
English (American),tummy,727
English (American),tuna,203
English (American),turkey,381
English (American),turtle,444
English (American),tv,625
English (American),under,1431
English (American),underpants,181
English (American),up,3835
English (American),us,1981
English (American),vacuum,282
English (American),vanilla,207
English (American),vitamins,142
English (American),wait,1324
English (American),wake,554
English (American),walk,1108
English (American),wanna,3304
English (American),was,3917
English (American),wash,968
English (American),watch,1641
English (American),watch,1641
English (American),water,1734
English (American),water,1734
English (American),we,4258
English (American),were,3576
English (American),wet,915
English (American),what,4311
English (American),when,3574
English (American),where,3268
English (American),which,2080
English (American),white,1263
English (American),who,2740
English (American),why,2608
English (American),will,2720
English (American),wind,584
English (American),window,952
English (American),windy,218
English (American),wipe,577
English (American),wish,557
English (American),with,4265
English (American),wolf,364
English (American),work,1436
English (American),work,1436
English (American),would,2921
English (American),write,855
English (American),backyard,172
English (American),yellow,1359
English (American),yogurt,393
English (American),you,4773
English (American),your,4306
English (American),yourself,1075
English (American),yucky,320
English (American),zebra,373
English (American),zipper,195
English (American),zoo,657
English (American),bottom,1064
English (American),in,4499
English (American),pop,799
English (American),kleenex,114
