iso_name,wordbank,wordbank kids,wordbank kids / 1000,form,unilemma coverage (proportion of tokens that are mapped to a unilemma),form,unilemma coverage (proportion of tokens that are mapped to a unilemma),form,unilemma coverage (proportion of tokens that are mapped to a unilemma),form,unilemma coverage (proportion of tokens that are mapped to a unilemma),childes,childes tokens (exclude target child),childes token per million,childes target children,snowball,hunspell,hunspell source,espeak,espeak notes,num resources,wordbank and childes,status,in aoa-pred,current targets,exclusion reason,new
Danish,Danish,6112,6.1,WG,1.00,WS,0.49,0,0.00,0,0.00,dan,285447,.3,120,danish,da_DK,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,da,Usable.,4,TRUE,,TRUE,TRUE,,FALSE
English,English (American),7955,8.0,WG,0.80,WS,0.85,0,0.00,0,0.00,eng,25659263,25.7,20655,english,en_US,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,en-us,,4,TRUE,,TRUE,TRUE,,FALSE
English,English (Australian),1497,1.5,WS,0.72,0,0.00,0,0.00,0,0.00,eng,25659263,25.7,20655,english,en_AU,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,en,,4,TRUE,,FALSE,TRUE,,TRUE
English,English (British),23129,23.1,TEDS Twos,0.70,TEDS Threes,0.37,Oxford CDI,0.97,0,0.00,eng,25659263,25.7,20655,english,en_GB,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,en,,4,TRUE,,FALSE,TRUE,,TRUE
French,French (French),863,.9,WG,0.65,WS,0.72,0,0.00,0,0.00,fra,3183037,3.2,2294,french,fr_FR,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,fr,"This has been improved by a native speaker, and should be OK.",4,TRUE,,FALSE,TRUE,,TRUE
French,French (Quebecois),1364,1.4,WG,0.99,WS,0.83,0,0.00,0,0.00,fra,3183037,3.2,2294,french,fr_FR,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,fr,"This has been improved by a native speaker, and should be OK.",4,TRUE,,TRUE,TRUE,,FALSE
German,German,1181,1.2,WS,0.77,0,0.00,0,0.00,0,0.00,deu,5663294,5.7,2331,german,de_DE,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,de,"This has improved from easlier versions. A problem is stress placement (which like English is irregular), prosody, and the use of compound words where correct detection of the sub-word boundaries would probably be needed for accurate pronunciation.",4,TRUE,,FALSE,TRUE,,TRUE
Italian,Italian,1400,1.4,WG,0.81,WS,0.57,0,0.00,0,0.00,ita,458427,.5,388,italian,it_IT,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,it,"This has had some feedback from a native speaker but more work is needed. Spelling is fairly regular, but stress marks and vowel accents are often omitted from text, so for some words the dictionary/exceptions list will need to determine the stress position or whether to use open/close [e] or [E] and [o] or [O].",4,TRUE,,TRUE,TRUE,,FALSE
Modern Greek,Greek (Cypriot),176,.2,WS,0.64,0,0.00,0,0.00,0,0.00,ell,131535,.1,206,greek,el_GR,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,el,"Stress position is marked in text and spelling is fairly regular, so it shouldn't be too bad. It uses a different alphabet and switches to English pronunciation for words which contain Latin characters a-z.",4,TRUE,,FALSE,FALSE,not enough wordbank,FALSE
Norwegian,Norwegian,12225,12.2,WG,0.81,WS,0.46,0,0.00,0,0.00,nor,248795,.2,198,norwegian,no_NO,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,no,"An initial guess, awaiting feedback.",4,TRUE,,TRUE,TRUE,,FALSE
Portuguese,Portuguese (European),4326,4.3,WG,0.00,WS,0.00,0,0.00,0,0.00,por,761765,.8,787,portuguese,pt_PT,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,pt-pt,,4,TRUE,,FALSE,TRUE,,TRUE
Russian,Russian,1805,1.8,WG,0.94,WS,1.00,0,0.00,0,0.00,rus,121184,.1,875,russian,ru_RU,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,ru,"So far it's just an initial attempt with basic pronunciation rules. Work is needed especially on the consonants. Russian has two versions of most consonants, ""hard"" and ""soft"" (palatalised) and in most cases eSpeak doesn't yet make a proper distinction.",4,TRUE,,TRUE,TRUE,,FALSE
Spanish,Spanish (European),1005,1.0,WG,0.00,WS,0.00,0,0.00,0,0.00,spa,2267707,2.3,2183,spanish,es_ES,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,es,"Spanish has good spelling rules, so it should be OK.",4,TRUE,,FALSE,TRUE,,TRUE
Spanish,Spanish (Mexican),1934,1.9,WG,0.82,WS,0.53,0,0.00,0,0.00,spa,2267707,2.3,2183,spanish,es_MX,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,es-la,"This contains a few changes from es, notably the pronunciation of ""z"",""ce"",""ci"".",4,TRUE,,TRUE,TRUE,,FALSE
Swedish,Swedish,1367,1.4,WG,1.00,WS,0.52,0,0.00,0,0.00,swe,583931,.6,249,swedish,sv_SE,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,sv,"This has now had some work done on the pronunciation rules, so it should be useable.",4,TRUE,,TRUE,TRUE,,FALSE
Turkish,Turkish,3537,3.5,WG,1.00,WS,0.57,0,0.00,0,0.00,tur,188150,.2,358,turkish,tr,https://github.com/titoBouzout/Dictionaries,tr,"Not much work yet, but I'm told it sounds reasonable.",4,TRUE,,TRUE,TRUE,,FALSE
Croatian,Croatian,627,.6,WG,1.00,WS,0.52,0,0.00,0,0.00,hrv,365918,.4,400,,hr_HR,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,hr,"Usable, but I'm unsure whether wrong stressed syllables are a problem. It accepts both Latin and Cyrillic characters. This voice is similar to sr Serbian and bs Bosnian",3,TRUE,,TRUE,TRUE,,FALSE
Czech,Czech,493,.5,WS,0.86,0,0.00,0,0.00,0,0.00,ces,290272,.3,172,,cs_CZ,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,cs,Usable.,3,TRUE,,FALSE,TRUE,,TRUE
Mandarin Chinese,Mandarin (Beijing),1938,1.9,TC,0.70,WS,0.56,IC,0.91,0,0.00,zho,2369896,2.4,3818,no need,no need,,zh,"This speaks Pinyin text and Chinese characters. There is only a simple one-to-one translation of Chinese characters to a single Pinyin pronunciation. There is no attempt yet at recognising different pronunciations of Chinese characters in context, or of recognising sequences of characters as ""words"". The eSpeak installation includes a basic set of Chinese characters. More are available in an additional data file for Mandarin Chinese at: http://espeak.sourceforge.net/data/.",4,TRUE,,FALSE,TRUE,,TRUE
Mandarin Chinese,Mandarin (Taiwanese),2654,2.7,WG,0.00,WS,0.00,0,0.00,0,0.00,zho,2369896,2.4,3818,no need,no need,,zh,"This speaks Pinyin text and Chinese characters. There is only a simple one-to-one translation of Chinese characters to a single Pinyin pronunciation. There is no attempt yet at recognising different pronunciations of Chinese characters in context, or of recognising sequences of characters as ""words"". The eSpeak installation includes a basic set of Chinese characters. More are available in an additional data file for Mandarin Chinese at: http://espeak.sourceforge.net/data/.",4,TRUE,,FALSE,TRUE,,TRUE
Yue Chinese,Cantonese,987,1.0,WS,0.93,0,0.00,0,0.00,0,0.00,yue,8376,.0,160,no need,no need,,zh-yue,"Just a naive simple one-to-one translation from single Simplified Chinese characters to phonetic equivalents in Cantonese. There is limited attempt at disambiguation, grouping characters into words, or adjusting tones according to their surrounding syllables. This voice needs Chinese character to phonetic translation data, which is available as a separate download for Cantonese at: http://espeak.sourceforge.net/data/.",4,TRUE,waiting,FALSE,FALSE,not enough childes,FALSE
Hebrew,Hebrew,540,.5,WG,0.82,WS,0.80,0,0.00,0,0.00,heb,876201,.9,787,,he_IL,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,,,2,TRUE,,FALSE,TRUE,,TRUE
Korean,Korean,1988,2.0,WG,0.63,WS,0.61,0,0.00,0,0.00,kor,391258,.4,188,,ko,https://github.com/spellcheck-ko/hunspell-dict-ko/releases,,,2,TRUE,,FALSE,TRUE,,TRUE
Catalan,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,cat,253574,.3,327,catalan,ca_ES,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,ca,,3,FALSE,,FALSE,FALSE,no wordbank,FALSE
Dutch,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,nld,2555023,2.6,1966,dutch,nl_NL,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,nl,Needs improvement of the spelling-to-phoneme rules.,3,FALSE,waiting,FALSE,TRUE,,TRUE
Hungarian,,372,.4,0,0.00,0,0.00,0,0.00,0,0.00,hun,308814,.3,328,hungarian,hu_HU,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,hu,This has had assistance from a native speaker and it should be OK.,3,FALSE,waiting,FALSE,TRUE,might be too few kids?,TRUE
Indonesian,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,ind,0,.0,0,indonesian,id_ID,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,id,"An initial guess, no feedback yet.",3,FALSE,,FALSE,FALSE,,FALSE
Romanian,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,ron,197825,.2,165,romanian,ro_RO,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,ro,Probably OK. More work is needed to improve the position of stress within words.,3,FALSE,,FALSE,FALSE,,FALSE
Tamil,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,tam,15490,.0,25,tamil,ta,https://github.com/thamizha/thamizha-solthiruthi,ta,"This has had assistance from a native speaker, so it should be OK.",3,FALSE,,FALSE,FALSE,,FALSE
Afrikaans,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,afr,41859,.0,69,,af_ZA,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,af,This has been worked on by native speakers and it should be OK.,2,FALSE,,FALSE,FALSE,,FALSE
Arabic,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,ara,60233,.1,180,arabic,ar,https://github.com/titoBouzout/Dictionaries,,,2,FALSE,,FALSE,FALSE,,FALSE
Basque,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,eus,150242,.2,141,basque,eu,https://github.com/titoBouzout/Dictionaries,,,2,FALSE,,FALSE,FALSE,,FALSE
Finnish,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,,0,.0,0,finnish,fi_FI,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,fi,This has had assistance from native speakers and should be usable.,2,FALSE,waiting,FALSE,FALSE,no childes,FALSE
Hindi,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,,0,.0,0,hindi,hi_IN,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,hi,"This is interesting because it uses the Devanagari characters. I'm not sure about Hindi stress rules, and I expect the sound of aspirated/unaspirated consonant pairs needs improvement.",2,FALSE,,FALSE,FALSE,,FALSE
Icelandic,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,isl,290100,.3,46,,is,https://github.com/titoBouzout/Dictionaries,is,"An initial guess, awaiting feedback.",2,FALSE,,FALSE,FALSE,,FALSE
Irish,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,gle,127455,.1,29,irish,ga_IE,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,,,2,FALSE,waiting,FALSE,TRUE,bilinguals? too small?,TRUE
Latvian,Latvian,683,.7,WG,0.00,WS,0.00,0,0.00,0,0.00,,0,.0,0,,lv_LV,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,lv,This has had assistance from a native speaker and it should be OK.,2,FALSE,,FALSE,FALSE,,FALSE
Polish,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,pol,1040674,1.0,373,,pl_PL,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,pl,Usable.,2,FALSE,,FALSE,FALSE,,FALSE
Serbian,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,srp,1099107,1.1,127,,sr,https://github.com/titoBouzout/Dictionaries,sr,Usable. Wrong stressed syllables may be a problem. It accepts both Latin and Cyrillic characters. This voice is similar to hr Croatian and bs Bosnian,2,FALSE,,FALSE,FALSE,,FALSE
Slovak,Slovak,1715,1.7,WG,0.48,WS,0.56,0,0.00,0,0.00,,0,.0,0,,sk_SK,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,sk,"This has had assistance from a native speaker, so it should be OK.",2,FALSE,,FALSE,FALSE,,FALSE
Swahili,Kiswahili,128,.1,WG,0.75,WS,0.66,0,0.00,0,0.00,,0,.0,0,,sw_KE,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,sw,"Not much feedback yet, but the spelling and stress rules are fairly regular, so it's probably usable.",2,FALSE,,FALSE,FALSE,,FALSE
Welsh,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,cym,0,.0,0,,cy_GB,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,cy,"An initial guess, awaiting feedback.",2,FALSE,,FALSE,FALSE,,FALSE
Albanian,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,,0,.0,0,,sq_AL,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,sq,"Some initial feedback, but needs more work.",1,FALSE,,FALSE,FALSE,,FALSE
American Sign Language,American Sign Language,59,.1,FormA,0.71,FormBOne,0.69,FormBTwo,0.70,FormC,0.70,,0,.0,0,,,,,,1,FALSE,,FALSE,FALSE,,FALSE
Armenian,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,,0,.0,0,,hy,https://github.com/titoBouzout/Dictionaries,hy,Needs feedback from native speakers. The hy-west voice has different pronunciation of some consonants for Western Armenian pronunciation.,1,FALSE,,FALSE,FALSE,,FALSE
Bosnian,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,,0,.0,0,,,,bs,"Usable, but I'm unsure whether wrong stressed syllables are a problem. It accepts both Latin and Cyrillic characters. This voice is similar to sr Serbian and hr Croatian",1,FALSE,,FALSE,FALSE,,FALSE
British Sign Language,British Sign Language,161,.2,WG,0.74,0,0.00,0,0.00,0,0.00,,0,.0,0,,,,,,1,FALSE,,FALSE,FALSE,,FALSE
Esperanto,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,,0,.0,0,,eo_13,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,eo,"Esperanto has simple and regular pronunciation rules, so it should be OK.",1,FALSE,,FALSE,FALSE,,FALSE
Estonian,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,est,874780,.9,374,,et_EE,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,,,1,FALSE,,FALSE,FALSE,,FALSE
Gaelic,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,gla,0,.0,0,,gd_GB,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,,,1,FALSE,,FALSE,FALSE,,FALSE
Galician,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,glg,0,.0,0,,gl_ES,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,,,1,FALSE,,FALSE,FALSE,,FALSE
Georgian,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,,0,.0,0,,ka,https://github.com/wooorm/dictionaries,ka,"An initial guess, awaiting feedback.",1,FALSE,,FALSE,FALSE,,FALSE
Giryama,Kigiriama,206,.2,WG,0.00,WS,0.00,0,0.00,0,0.00,,0,.0,0,,,,,,1,FALSE,,FALSE,FALSE,,FALSE
Hawaiian,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,haw,0,.0,0,,,,,,1,FALSE,,FALSE,FALSE,,FALSE
Jamaican,,0,.0,0,0.00,0,0.00,0,0.00,0,0.00,jam,273720,.3,49,,,,,,1,FALSE,,FALSE,FALSE,,FALSE
Japanese,,,.0,,,,,,,,,jpn,2398936,2.4,1205,,,,,,1,FALSE,,FALSE,FALSE,,FALSE
Javanese,,,.0,,,,,,,,,jav,0,.0,0,,,,,,1,FALSE,,FALSE,FALSE,,FALSE
Kannada,,,.0,,,,,,,,,,0,.0,0,,,,kn,"Not much feedback yet, but I'm told that it sounds reasonable.",1,FALSE,,FALSE,FALSE,,FALSE
Kikuyu,,,.0,,,,,,,,,kik,0,.0,0,,,,,,1,FALSE,,FALSE,FALSE,,FALSE
Kurdish,,,.0,,,,,,,,,,0,.0,0,,ku_TR,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,ku,"Not much work yet, but Kurdish has good spelling rules so it should be OK.",1,FALSE,,FALSE,FALSE,,FALSE
Latin,,,.0,,,,,,,,,,0,.0,0,,la,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,la,"Stress rules are implemented, but it needs text where long vowels are marked with macrons.",1,FALSE,,FALSE,FALSE,,FALSE
Lithuanian,,,.0,,,,,,,,,,0,.0,0,lithuanian,lt_LT,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,,,1,FALSE,,FALSE,FALSE,,FALSE
Macedonian,,,.0,,,,,,,,,,0,.0,0,,mk_MK,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,mk,"This is similar to hr Croatian, so it's probably usable. It accepts both Latin and Cyrillic characters.",1,FALSE,,FALSE,FALSE,,FALSE
Manado Malay,,,.0,,,,,,,,,xmm,0,.0,0,,,,,,1,FALSE,,FALSE,FALSE,,FALSE
Marathi,,,.0,,,,,,,,,mar,0,.0,0,,mr_IN,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,,,1,FALSE,,FALSE,FALSE,,FALSE
Minnan,,,.0,,,,,,,,,nan,,.0,20,,,,,,1,FALSE,,FALSE,FALSE,,FALSE
Nepali,,,.0,,,,,,,,,,0,.0,0,nepali,ne_NP,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,,,1,FALSE,,FALSE,FALSE,,FALSE
Northwest Alaska Inupiatun,,,.0,,,,,,,,,esk,0,.0,0,,,,,,1,FALSE,,FALSE,FALSE,,FALSE
Persian,,,.0,,,,,,,,,fas,180012,.2,144,,fa,https://github.com/titoBouzout/Dictionaries,,,1,FALSE,waiting,FALSE,FALSE,too little childes,FALSE
Portuguese,,,.0,,,,,,,,,,0,.0,0,,pt_BR,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,pt,"Brazilian Portuguese. This has had assistance from a native speaker and it should be OK. Like Italian there is further work to do about the ambiguity in the spelling between open/close ""e"" and ""o"" vowels.",1,FALSE,,FALSE,FALSE,,FALSE
Quechua,,,.0,,,,,,,,,que,14909,.0,58,,,,,,1,FALSE,,FALSE,FALSE,,FALSE
Slovenian,,,.0,,,,,,,,,slv,9040,.0,37,,sl_SI,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,,,1,FALSE,,FALSE,FALSE,,FALSE
Southern Sotho,,,.0,,,,,,,,,sot,234633,.2,69,,st_ZA,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,,,1,FALSE,,FALSE,FALSE,,FALSE
Tagalog,,,.0,,,,,,,,,tgl,0,.0,0,,tl_PH,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,,,1,FALSE,,FALSE,FALSE,,FALSE
Tamasheq,,,.0,,,,,,,,,taq,10915,.0,60,,,,,,1,FALSE,,FALSE,FALSE,,FALSE
Thai,,,.0,,,,,,,,,tha,243937,.2,291,,th_TH,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,,,1,FALSE,,FALSE,FALSE,,FALSE
Undetermined,,,.0,,,,,,,,,und,0,.0,0,,,,,,1,FALSE,,FALSE,FALSE,,FALSE
Vietnamese,,,.0,,,,,,,,,,0,.0,0,,vi_VN,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,vi,"This is interesting because it's a tone language. I don't know how it should sound, so it's just a guess and I need feedback.",1,FALSE,,FALSE,FALSE,,FALSE
Yau (Morobe Province),,,.0,,,,,,,,,yuw,19658,.0,4,,,,,,1,FALSE,,FALSE,FALSE,,FALSE
Yiddish,,,.0,,,,,,,,,yid,0,.0,0,,yi,https://github.com/alephreish/hunspell-yi,,,1,FALSE,,FALSE,FALSE,,FALSE