"","language","uni_lemma","lexical_class","category","definition","word_clean"
"1","English (British)","again","function_words","prepositions","again","again"
"2","English (British)","airplane","nouns","vehicles","aeroplane / plane","aeroplane "
"3","English (British)","all","function_words","prepositions","all","all"
"4","English (British)","all gone","adjectives","descriptive_words","all gone","all gone"
"5","English (British)","animal","nouns","animals","animal","animal"
"6","English (British)","another","function_words","prepositions","another","another"
"7","English (British)","apple","nouns","food_drink","apple","apple"
"8","English (British)","arm","nouns","body_parts","arm","arm"
"9","English (British)","asleep","adjectives","descriptive_words","asleep","asleep"
"10","English (British)","away","function_words","prepositions","away","away"
"11","English (British)","back","function_words","prepositions","back","back"
"12","English (British)","bad","adjectives","descriptive_words","bad","bad"
"13","English (British)","ball","nouns","toys","ball","ball"
"14","English (British)","balloon","nouns","toys","balloon","balloon"
"15","English (British)","banana","nouns","food_drink","banana","banana"
"16","English (British)","basket","nouns","household","bin","bin"
"17","English (British)","bathroom","nouns","furniture_rooms","bathroom","bathroom"
"18","English (British)","bathtub","nouns","clothing","bath / bathtub","bath "
"19","English (British)","beach","nouns","outside","beach","beach"
"20","English (British)","bear","nouns","animals","bear","bear"
"21","English (British)","bed","nouns","furniture_rooms","bed","bed"
"22","English (British)","bedroom","nouns","furniture_rooms","bedroom","bedroom"
"23","English (British)","bee","nouns","animals","bee","bee"
"24","English (British)","belly button","nouns","body_parts","belly button / tummy button","belly button "
"25","English (British)","bib","nouns","clothing","bib","bib"
"26","English (British)","bicycle","nouns","vehicles","bicycle / bike","bicycle "
"27","English (British)","big","adjectives","descriptive_words","big","big"
"28","English (British)","bird","nouns","animals","bird","bird"
"29","English (British)","biscuit","nouns","food_drink","biscuit","biscuit"
"30","English (British)","bite","verbs","action_words","bite","bite"
"31","English (British)","blanket","nouns","household","blanket","blanket"
"32","English (British)","block","nouns","toys","block / brick","block "
"33","English (British)","blow","verbs","action_words","blow","blow"
"34","English (British)","blue","adjectives","descriptive_words","blue","blue"
"35","English (British)","boat","nouns","vehicles","boat","boat"
"36","English (British)","book","nouns","toys","book","book"
"37","English (British)","boots","nouns","clothing","boot(s)","boot"
"38","English (British)","bottle","nouns","household","bottle","bottle"
"39","English (British)","bowl","nouns","household","bowl","bowl"
"40","English (British)","box","nouns","household","box","box"
"41","English (British)","bread","nouns","food_drink","bread","bread"
"42","English (British)","break","verbs","action_words","break","break"
"43","English (British)","bring","verbs","action_words","bring","bring"
"44","English (British)","broken","adjectives","descriptive_words","broken","broken"
"45","English (British)","broom","nouns","household","broom","broom"
"46","English (British)","brush (object)","nouns","household","brush","brush"
"47","English (British)","bubbles","nouns","toys","bubble","bubble"
"48","English (British)","bucket","nouns","outside","bucket","bucket"
"49","English (British)","bump","verbs","action_words","bump","bump"
"50","English (British)","bunny","nouns","animals","bunny / rabbit","bunny "
"51","English (British)","bus","nouns","vehicles","bus","bus"
"52","English (British)","butter","nouns","food_drink","butter","butter"
"53","English (British)","butterfly","nouns","animals","butterfly","butterfly"
"54","English (British)","button","nouns","clothing","button","button"
"55","English (British)","cake","nouns","food_drink","cake","cake"
"56","English (British)","car","nouns","vehicles","car","car"
"57","English (British)","careful","adjectives","descriptive_words","careful","careful"
"58","English (British)","carrots","nouns","food_drink","carrot","carrot"
"59","English (British)","carry","verbs","action_words","carry","carry"
"60","English (British)","cat","nouns","animals","cat","cat"
"61","English (British)","catch","verbs","action_words","catch","catch"
"62","English (British)","cereal","nouns","food_drink","cereal","cereal"
"63","English (British)","chair","nouns","furniture_rooms","chair","chair"
"64","English (British)","cheek","nouns","body_parts","cheek","cheek"
"65","English (British)","cheese","nouns","food_drink","cheese","cheese"
"66","English (British)","chicken (animal)","nouns","animals","chicken","chicken"
"67","English (British)","chicken (food)","nouns","food_drink","chicken","chicken"
"68","English (British)","church","nouns","outside","church","church"
"69","English (British)","clean (action)","verbs","action_words","clean","clean"
"70","English (British)","clean (description)","adjectives","descriptive_words","clean","clean"
"71","English (British)","clock","nouns","household","clock","clock"
"72","English (British)","close","verbs","action_words","shut / close","shut "
"73","English (British)","coat","nouns","clothing","coat","coat"
"74","English (British)","coffee","nouns","food_drink","coffee","coffee"
"75","English (British)","cold","adjectives","descriptive_words","cold","cold"
"76","English (British)","comb (object)","nouns","household","comb","comb"
"77","English (British)","couch","nouns","furniture_rooms","settee / sofa","settee "
"78","English (British)","cow","nouns","animals","cow","cow"
"79","English (British)","crib","nouns","furniture_rooms","cot","cot"
"80","English (British)","cry","verbs","action_words","cry","cry"
"81","English (British)","cup","nouns","household","cup","cup"
"82","English (British)","cup","nouns","household","mug","mug"
"83","English (British)","dance","verbs","action_words","dance","dance"
"84","English (British)","dark","adjectives","descriptive_words","dark","dark"
"85","English (British)","deer","nouns","animals","deer","deer"
"86","English (British)","diaper","nouns","clothing","nappy","nappy"
"87","English (British)","dirty","adjectives","descriptive_words","dirty","dirty"
"88","English (British)","dish","nouns","household","dish","dish"
"89","English (British)","dog","nouns","animals","dog","dog"
"90","English (British)","doll","nouns","toys","doll","doll"
"91","English (British)","donkey","nouns","animals","donkey","donkey"
"92","English (British)","door","nouns","furniture_rooms","door","door"
"93","English (British)","down","function_words","prepositions","down","down"
"94","English (British)","draw","verbs","action_words","draw","draw"
"95","English (British)","drawer","nouns","furniture_rooms","drawer","drawer"
"96","English (British)","dress (object)","nouns","clothing","dress","dress"
"97","English (British)","drink (action)","verbs","action_words","drink","drink"
"98","English (British)","drink (beverage)","nouns","food_drink","drink","drink"
"99","English (British)","drive","verbs","action_words","drive","drive"
"100","English (British)","drop","verbs","action_words","drop","drop"
"101","English (British)","dry (description)","adjectives","descriptive_words","dry","dry"
"102","English (British)","duck","nouns","animals","duck","duck"
"103","English (British)","ear","nouns","body_parts","ear","ear"
"104","English (British)","eat","verbs","action_words","eat","eat"
"105","English (British)","egg","nouns","food_drink","egg","egg"
"106","English (British)","elephant","nouns","animals","elephant","elephant"
"107","English (British)","empty","adjectives","descriptive_words","empty","empty"
"108","English (British)","eye","nouns","body_parts","eye","eye"
"109","English (British)","face","nouns","body_parts","face","face"
"110","English (British)","fall","verbs","action_words","fall","fall"
"111","English (British)","fast","adjectives","descriptive_words","fast","fast"
"112","English (British)","feed","verbs","action_words","feed","feed"
"113","English (British)","find","verbs","action_words","find","find"
"114","English (British)","fine","adjectives","descriptive_words","fine","fine"
"115","English (British)","finger","nouns","body_parts","finger","finger"
"116","English (British)","finish","verbs","action_words","finish","finish"
"117","English (British)","firetruck","nouns","vehicles","fire engine","fire engine"
"118","English (British)","fish (animal)","nouns","animals","fish","fish"
"119","English (British)","fish (food)","nouns","food_drink","fish","fish"
"120","English (British)","flower","nouns","outside","flower","flower"
"121","English (British)","food","nouns","food_drink","food","food"
"122","English (British)","foot","nouns","body_parts","foot","foot"
"123","English (British)","fork","nouns","household","fork","fork"
"124","English (British)","frog","nouns","animals","frog","frog"
"125","English (British)","garage","nouns","furniture_rooms","garage","garage"
"126","English (British)","garden","nouns","outside","garden","garden"
"127","English (British)","gentle","adjectives","descriptive_words","gentle","gentle"
"128","English (British)","get","verbs","action_words","get","get"
"129","English (British)","giraffe","nouns","animals","giraffe","giraffe"
"130","English (British)","give","verbs","action_words","give","give"
"131","English (British)","glass","nouns","household","glass","glass"
"132","English (British)","glasses","nouns","clothing","glasses / specs","glasses "
"133","English (British)","go","verbs","action_words","go","go"
"134","English (British)","good","adjectives","descriptive_words","good","good"
"135","English (British)","goose","nouns","animals","goose","goose"
"136","English (British)","green","adjectives","descriptive_words","green","green"
"137","English (British)","hair","nouns","body_parts","hair","hair"
"138","English (British)","hammer","nouns","household","hammer","hammer"
"139","English (British)","hand","nouns","body_parts","hand","hand"
"140","English (British)","happy","adjectives","descriptive_words","happy","happy"
"141","English (British)","hard","adjectives","descriptive_words","hard","hard"
"142","English (British)","hat","nouns","clothing","hat","hat"
"143","English (British)","have","verbs","action_words","have","have"
"144","English (British)","head","nouns","body_parts","head","head"
"145","English (British)","hear","verbs","action_words","hear","hear"
"146","English (British)","help","verbs","action_words","help","help"
"147","English (British)","her","function_words","pronouns","her","her"
"148","English (British)","high chair","nouns","furniture_rooms","high chair","high chair"
"149","English (British)","his","function_words","pronouns","his","his"
"150","English (British)","hit","verbs","action_words","hit","hit"
"151","English (British)","horse","nouns","animals","horse","horse"
"152","English (British)","hot","adjectives","descriptive_words","hot","hot"
"153","English (British)","house","nouns","outside","house","house"
"154","English (British)","how","function_words","question_words","how","how"
"155","English (British)","hug","verbs","action_words","hug","hug"
"156","English (British)","hungry","adjectives","descriptive_words","hungry","hungry"
"157","English (British)","hurry","verbs","action_words","hurry","hurry"
"158","English (British)","hurt (description)","adjectives","descriptive_words","hurt","hurt"
"159","English (British)","i","function_words","pronouns","I","i"
"160","English (British)","ice cream","nouns","food_drink","ice cream","ice cream"
"161","English (British)","in","function_words","prepositions","in","in"
"162","English (British)","inside","function_words","prepositions","inside","inside"
"163","English (British)","it","function_words","pronouns","it","it"
"164","English (British)","jacket","nouns","clothing","jacket","jacket"
"165","English (British)","jam","nouns","food_drink","jam","jam"
"166","English (British)","jeans","nouns","clothing","jeans","jeans"
"167","English (British)","juice","nouns","food_drink","juice","juice"
"168","English (British)","jump","verbs","action_words","jump","jump"
"169","English (British)","keys","nouns","household","key","key"
"170","English (British)","kick","verbs","action_words","kick","kick"
"171","English (British)","kiss","verbs","action_words","kiss","kiss"
"172","English (British)","kitchen","nouns","furniture_rooms","kitchen","kitchen"
"173","English (British)","kitty","nouns","animals","kitten","kitten"
"174","English (British)","knee","nouns","body_parts","knee","knee"
"175","English (British)","lamb","nouns","animals","lamb","lamb"
"176","English (British)","lamp","nouns","household","lamp","lamp"
"177","English (British)","leg","nouns","body_parts","leg","leg"
"178","English (British)","light (object)","nouns","household","light","light"
"179","English (British)","lion","nouns","animals","lion","lion"
"180","English (British)","little (description)","adjectives","descriptive_words","little","little"
"181","English (British)","living room","nouns","furniture_rooms","living room","living room"
"182","English (British)","look","verbs","action_words","look","look"
"183","English (British)","love","verbs","action_words","love","love"
"184","English (British)","make","verbs","action_words","make","make"
"185","English (British)","me","function_words","pronouns","me","me"
"186","English (British)","meat","nouns","food_drink","meat","meat"
"187","English (British)","medicine","nouns","household","medicine","medicine"
"188","English (British)","milk","nouns","food_drink","milk","milk"
"189","English (British)","mine","function_words","pronouns","mine","mine"
"190","English (British)","money","nouns","household","money","money"
"191","English (British)","monkey","nouns","animals","monkey","monkey"
"192","English (British)","moon","nouns","outside","moon","moon"
"193","English (British)","more","function_words","prepositions","more","more"
"194","English (British)","motorcycle","nouns","vehicles","motor-bike","motor-bike"
"195","English (British)","mouse","nouns","animals","mouse","mouse"
"196","English (British)","mouth","nouns","body_parts","mouth","mouth"
"197","English (British)","my","function_words","pronouns","my","my"
"198","English (British)","nail (body part)","nouns","body_parts","nail","nail"
"199","English (British)","naughty","adjectives","descriptive_words","naughty","naughty"
"200","English (British)","necklace","nouns","clothing","necklace","necklace"
"201","English (British)","nice","adjectives","descriptive_words","nice","nice"
"202","English (British)","none","function_words","prepositions","none","none"
"203","English (British)","nose","nouns","body_parts","nose","nose"
"204","English (British)","not","function_words","prepositions","not","not"
"205","English (British)","off","function_words","prepositions","off","off"
"206","English (British)","old","adjectives","descriptive_words","old","old"
"207","English (British)","on","function_words","prepositions","on","on"
"208","English (British)","open (action)","verbs","action_words","open","open"
"209","English (British)","orange (food)","nouns","food_drink","orange","orange"
"210","English (British)","other","function_words","prepositions","other","other"
"211","English (British)","out","function_words","prepositions","out","out"
"212","English (British)","outside","nouns","outside","outside","outside"
"213","English (British)","owl","nouns","animals","owl","owl"
"214","English (British)","pacifier","nouns","household","dummy","dummy"
"215","English (British)","pajamas","nouns","clothing","pyjamas","pyjamas"
"216","English (British)","pants","nouns","clothing","trousers","trousers"
"217","English (British)","paper","nouns","household","paper","paper"
"218","English (British)","park","nouns","outside","park","park"
"219","English (British)","party","nouns","outside","party","party"
"220","English (British)","pasta","nouns","food_drink","pasta / spaghetti","pasta "
"221","English (British)","peas","nouns","food_drink","peas","peas"
"222","English (British)","pen","nouns","toys","pen","pen"
"223","English (British)","penguin","nouns","animals","penguin","penguin"
"224","English (British)","penny","nouns","household","penny","penny"
"225","English (British)","picture","nouns","household","picture","picture"
"226","English (British)","pig","nouns","animals","pig","pig"
"227","English (British)","pillow","nouns","household","pillow","pillow"
"228","English (British)","pizza","nouns","food_drink","pizza","pizza"
"229","English (British)","plant","nouns","household","plant","plant"
"230","English (British)","plate","nouns","household","plate","plate"
"231","English (British)","play","verbs","action_words","play","play"
"232","English (British)","play pen","nouns","furniture_rooms","play pen","play pen"
"233","English (British)","pony","nouns","animals","pony","pony"
"234","English (British)","pool","nouns","outside","pool","pool"
"235","English (British)","potty","nouns","furniture_rooms","potty","potty"
"236","English (British)","pretty","adjectives","descriptive_words","pretty","pretty"
"237","English (British)","pull","verbs","action_words","pull","pull"
"238","English (British)","puppy","nouns","animals","puppy","puppy"
"239","English (British)","purse","nouns","household","purse","purse"
"240","English (British)","push","verbs","action_words","push","push"
"241","English (British)","put","verbs","action_words","put","put"
"242","English (British)","radio","nouns","household","radio","radio"
"243","English (British)","rain","nouns","outside","rain","rain"
"244","English (British)","read","verbs","action_words","read","read"
"245","English (British)","red","adjectives","descriptive_words","red","red"
"246","English (British)","refrigerator","nouns","furniture_rooms","refrigerator / fridge","refrigerator "
"247","English (British)","ride","verbs","action_words","ride","ride"
"248","English (British)","rocking chair","nouns","furniture_rooms","rocking chair","rocking chair"
"249","English (British)","run","verbs","action_words","run","run"
"250","English (British)","sad","adjectives","descriptive_words","sad","sad"
"251","English (British)","same","function_words","prepositions","same","same"
"252","English (British)","say","verbs","action_words","say","say"
"253","English (British)","scared","adjectives","descriptive_words","scared","scared"
"254","English (British)","school","nouns","outside","school","school"
"255","English (British)","scissors","nouns","household","scissors","scissors"
"256","English (British)","see","verbs","action_words","see","see"
"257","English (British)","sheep","nouns","animals","sheep","sheep"
"258","English (British)","shirt","nouns","clothing","shirt","shirt"
"259","English (British)","shoe","nouns","clothing","shoe","shoe"
"260","English (British)","shorts","nouns","clothing","shorts","shorts"
"261","English (British)","show","verbs","action_words","show","show"
"262","English (British)","sick","adjectives","descriptive_words","sick","sick"
"263","English (British)","sing","verbs","action_words","sing","sing"
"264","English (British)","sink","nouns","furniture_rooms","sink","sink"
"265","English (British)","sky","nouns","outside","sky","sky"
"266","English (British)","sleep","verbs","action_words","sleep","sleep"
"267","English (British)","sleepy","adjectives","descriptive_words","sleepy","sleepy"
"268","English (British)","slide (object)","nouns","outside","slide","slide"
"269","English (British)","smell","verbs","action_words","smell","smell"
"270","English (British)","smile","verbs","action_words","smile","smile"
"271","English (British)","snow","nouns","outside","snow","snow"
"272","English (British)","soap","nouns","household","soap","soap"
"273","English (British)","sock","nouns","clothing","sock","sock"
"274","English (British)","soft","adjectives","descriptive_words","soft","soft"
"275","English (British)","some","function_words","prepositions","some","some"
"276","English (British)","spade","nouns","outside","spade","spade"
"277","English (British)","spider","nouns","animals","spider","spider"
"278","English (British)","splash","verbs","action_words","splash","splash"
"279","English (British)","spoon","nouns","household","spoon","spoon"
"280","English (British)","squirrel","nouns","animals","squirrel","squirrel"
"281","English (British)","stairs","nouns","furniture_rooms","stairs","stairs"
"282","English (British)","star","nouns","outside","star","star"
"283","English (British)","stoller","nouns","vehicles","pushchair / buggy","pushchair "
"284","English (British)","stone","nouns","outside","stone","stone"
"285","English (British)","stop","verbs","action_words","stop","stop"
"286","English (British)","stove","nouns","furniture_rooms","cooker / stove / oven","cooker "
"287","English (British)","sun","nouns","outside","sun","sun"
"288","English (British)","sweater","nouns","clothing","jumper / sweater","jumper "
"289","English (British)","swim","verbs","action_words","swim","swim"
"290","English (British)","swing (action)","verbs","action_words","swing","swing"
"291","English (British)","swing (object)","nouns","outside","swing","swing"
"292","English (British)","table","nouns","furniture_rooms","table","table"
"293","English (British)","take","verbs","action_words","take","take"
"294","English (British)","tea","nouns","food_drink","tea","tea"
"295","English (British)","teddybear","nouns","toys","teddy bear","teddy bear"
"296","English (British)","telephone","nouns","household","telephone","telephone"
"297","English (British)","tell","verbs","action_words","tell","tell"
"298","English (British)","that","function_words","pronouns","that","that"
"299","English (British)","there","function_words","prepositions","there","there"
"300","English (British)","thirsty","adjectives","descriptive_words","thirsty","thirsty"
"301","English (British)","this","function_words","pronouns","this","this"
"302","English (British)","throw","verbs","action_words","throw","throw"
"303","English (British)","tickle","verbs","action_words","tickle","tickle"
"304","English (British)","tiger","nouns","animals","tiger","tiger"
"305","English (British)","tired","adjectives","descriptive_words","tired","tired"
"306","English (British)","toast","nouns","food_drink","toast","toast"
"307","English (British)","toe","nouns","body_parts","toe","toe"
"308","English (British)","tongue","nouns","body_parts","tongue","tongue"
"309","English (British)","tooth","nouns","body_parts","tooth","tooth"
"310","English (British)","toothbrush","nouns","household","toothbrush","toothbrush"
"311","English (British)","towel","nouns","household","towel","towel"
"312","English (British)","toy (object)","nouns","toys","toy","toy"
"313","English (British)","train","nouns","vehicles","train","train"
"314","English (British)","trash","nouns","household","rubbish","rubbish"
"315","English (British)","tree","nouns","outside","tree","tree"
"316","English (British)","truck","nouns","vehicles","lorry / truck","lorry "
"317","English (British)","tummy","nouns","body_parts","tummy","tummy"
"318","English (British)","turkey","nouns","animals","turkey","turkey"
"319","English (British)","turtle","nouns","animals","turtle","turtle"
"320","English (British)","tv","nouns","furniture_rooms","TV / television","tv "
"321","English (British)","under","function_words","prepositions","under","under"
"322","English (British)","up","function_words","prepositions","up","up"
"323","English (British)","vacuum","nouns","household","hoover / vacuum","hoover "
"324","English (British)","walk","verbs","action_words","walk","walk"
"325","English (British)","wall","nouns","outside","wall","wall"
"326","English (British)","wash","verbs","action_words","wash","wash"
"327","English (British)","watch (action)","verbs","action_words","watch","watch"
"328","English (British)","watch (object)","nouns","household","watch","watch"
"329","English (British)","water (beverage)","nouns","food_drink","water","water"
"330","English (British)","water (not beverage)","nouns","outside","water","water"
"331","English (British)","wet (description)","adjectives","descriptive_words","wet","wet"
"332","English (British)","what","function_words","question_words","what","what"
"333","English (British)","when (question)","function_words","question_words","when","when"
"334","English (British)","where (question)","function_words","question_words","where","where"
"335","English (British)","who","function_words","question_words","who","who"
"336","English (British)","why","function_words","question_words","why","why"
"337","English (British)","window","nouns","furniture_rooms","window","window"
"338","English (British)","wipe","verbs","action_words","wipe","wipe"
"339","English (British)","work (place)","nouns","outside","work","work"
"340","English (British)","write","verbs","action_words","write","write"
"341","English (British)","yellow","adjectives","descriptive_words","yellow","yellow"
"342","English (British)","you","function_words","pronouns","you","you"
"343","English (British)","your","function_words","pronouns","your","your"
"344","English (British)","zipper","nouns","clothing","zip","zip"
"345","English (British)","zoo","nouns","outside","zoo","zoo"
"346","English (British)",NA,"nouns","food_drink","chips","chips"
"347","English (British)",NA,"nouns","food_drink","sweets","sweets"
"348","English (British)",NA,"nouns","outside","shop","shop"
"349","English (British)",NA,"nouns","household","jug","jug"
"350","English (British)",NA,"verbs","action_words","call","call"
"351","English (British)",NA,"verbs","action_words","cuddle","cuddle"
"352","English (British)",NA,"verbs","action_words","cut","cut"
"353","English (British)",NA,"verbs","action_words","know","know"
"354","English (British)",NA,"verbs","action_words","like","like"
"355","English (British)",NA,"verbs","action_words","scratch","scratch"
"356","English (British)",NA,"adjectives","descriptive_words","nasty","nasty"
"357","English (British)",NA,"verbs","action_words","chase","chase"
"358","English (British)","airplane","nouns","vehicles","aeroplane / plane"," plane"
"359","English (British)","bathtub","nouns","clothing","bath / bathtub"," bathtub"
"360","English (British)","belly button","nouns","body_parts","belly button / tummy button"," tummy button"
"361","English (British)","bicycle","nouns","vehicles","bicycle / bike"," bike"
"362","English (British)","block","nouns","toys","block / brick"," brick"
"363","English (British)","bunny","nouns","animals","bunny / rabbit"," rabbit"
"364","English (British)","close","verbs","action_words","shut / close"," close"
"365","English (British)","couch","nouns","furniture_rooms","settee / sofa"," sofa"
"366","English (British)","glasses","nouns","clothing","glasses / specs"," specs"
"367","English (British)","pasta","nouns","food_drink","pasta / spaghetti"," spaghetti"
"368","English (British)","refrigerator","nouns","furniture_rooms","refrigerator / fridge"," fridge"
"369","English (British)","stoller","nouns","vehicles","pushchair / buggy"," buggy"
"370","English (British)","stove","nouns","furniture_rooms","cooker / stove / oven"," stove "
"371","English (British)","sweater","nouns","clothing","jumper / sweater"," sweater"
"372","English (British)","truck","nouns","vehicles","lorry / truck"," truck"
"373","English (British)","tv","nouns","furniture_rooms","TV / television"," television"
"374","English (British)","vacuum","nouns","household","hoover / vacuum"," vacuum"
"375","English (British)","stove","nouns","furniture_rooms","cooker / stove / oven"," oven"
